,Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
395,18,0,20,1,6573,149,96,47,2,2,1,25,734.49,0
398,4,0,12,1,4570,48,226,15,3,1,1,30,1088.72,0
399,5,0,12,1,1668,27,11,12,3,1,1,30,111.8,1
402,8,0,34,0,2273,52,348,19,3,1,1,30,1485.0,0
406,2,0,35,0,2180,31,274,13,3,1,1,30,1184.44,0
414,7,0,34,0,15305,174,139,25,2,1,1,25,1322.055,0
418,0,1,34,0,0,0,0,0,2,1,2,25,0.0,1
421,6,0,34,1,6538,67,97,32,2,1,1,25,733.725,0
422,21,1,30,0,775,39,5,12,2,1,2,25,59.13,1
424,11,1,33,1,5638,90,15,19,2,1,1,25,325.26,1
425,0,0,31,0,2660,14,0,9,3,1,1,30,106.96,0
426,7,0,32,0,2810,33,0,11,3,1,2,30,113.72,1
427,7,1,33,0,2088,36,23,26,3,1,2,30,176.96,1
428,0,0,33,0,0,0,0,0,3,1,2,30,0.0,1
429,0,0,33,0,1488,17,0,1,3,1,1,30,60.2,0
430,1,0,30,1,6605,89,3,17,5,1,1,55,104.91,0
431,0,0,33,0,0,0,0,0,4,1,2,45,0.0,1
433,23,0,28,3,15895,230,0,75,2,1,1,25,725.625,0
442,8,0,22,0,1045,24,8,8,2,1,1,25,84.105,0
443,0,0,22,0,3045,53,0,18,3,1,1,30,123.92,0
445,14,0,14,1,6213,133,74,37,2,2,1,25,618.57,0
448,0,0,6,1,4210,32,204,5,3,1,1,30,985.68,0
449,1,0,6,1,1308,11,0,2,3,1,1,30,52.76,1
454,7,0,38,2,2993,68,23,48,2,1,1,25,241.245,0
456,8,0,38,2,2960,49,306,33,3,1,1,30,1344.36,0
458,11,0,38,2,14373,179,21,59,3,1,1,30,666.08,0
460,10,0,38,2,6518,105,28,27,3,1,1,30,376.92,0
465,7,0,37,3,7100,96,207,41,3,1,1,30,1115.84,0
466,4,0,37,0,1475,24,21,26,2,1,2,25,161.955,0
467,6,0,38,0,1310,24,34,23,3,1,2,30,189.36,0
468,4,0,37,0,600,10,21,15,2,1,2,25,121.95,1
472,27,1,33,0,1555,57,37,32,3,1,2,30,212.48,1
476,13,1,35,0,3590,51,30,31,3,1,2,30,265.64,1
477,13,1,36,0,2868,54,55,46,3,1,2,30,336.88,1
478,4,0,36,0,733,12,21,17,3,1,2,30,113.8,1
479,5,0,36,2,2268,35,21,21,4,1,1,45,110.075,0
481,4,0,36,0,1228,17,30,19,4,1,2,45,106.125,1
483,29,0,31,5,16675,248,21,95,2,1,1,25,856.035,0
486,7,1,35,0,2265,54,59,35,3,1,2,30,328.76,1
490,15,0,27,0,1300,35,31,22,3,1,2,30,177.4,0
494,6,0,18,2,2295,36,49,29,2,1,1,25,325.395,0
499,7,1,9,3,2088,29,21,22,3,1,1,30,168.68,1
501,0,0,39,0,0,0,0,0,2,1,2,25,0.0,0
518,0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
522,19,0,33,0,355,37,0,2,2,1,2,25,17.64,1
524,9,1,36,0,5218,88,5,9,2,1,1,25,261.27,1
526,5,0,35,0,2390,31,0,1,3,1,2,30,96.84,1
527,5,0,36,0,1668,34,13,16,3,1,2,30,120.08,1
528,0,0,36,0,0,0,0,0,3,1,2,30,0.0,1
531,0,0,36,0,0,0,0,0,4,1,2,45,0.0,1
533,21,0,31,1,15475,228,0,65,2,1,1,25,706.635,0
540,7,0,27,0,100,15,0,3,2,1,2,25,5.175,0
546,8,0,15,0,8333,161,52,25,4,1,1,45,342.35,0
549,0,1,9,0,888,9,0,3,3,1,1,30,35.88,1
562,25,0,39,4,15255,231,86,36,3,1,1,30,963.44,0
566,0,0,38,0,990,20,32,15,2,1,2,25,189.45,0
568,0,0,38,0,115,6,32,4,2,1,2,25,149.445,1
569,3,0,38,1,7623,133,416,47,3,1,1,30,1974.24,0
570,7,0,38,2,11580,160,43,51,4,1,1,45,401.0,0
571,8,0,38,2,6833,81,140,41,2,1,1,25,941.13,0
572,23,1,34,0,1070,53,48,21,3,1,2,30,236.92,1
576,9,1,36,0,3105,47,41,20,3,1,2,30,290.08,1
577,9,0,37,0,2383,50,66,35,4,1,2,45,225.825,1
578,0,0,37,0,248,8,32,6,3,1,2,30,138.24,1
579,1,0,37,1,1783,31,32,10,4,1,1,45,125.35,0
580,3,0,34,2,6900,103,46,26,5,1,1,55,174.045,0
581,0,0,37,0,743,13,41,8,4,1,2,45,121.4,1
583,25,0,32,4,16190,244,32,84,2,2,1,25,883.53,0
584,6,0,35,4,7080,122,303,37,3,2,1,30,1500.08,0
586,3,0,36,0,1780,50,70,24,4,1,2,45,220.75,0
596,12,0,16,1,9048,177,105,44,5,1,1,55,295.875,0
599,3,0,10,2,1603,25,32,11,3,1,1,30,193.12,1
618,0,1,36,0,0,0,0,0,2,1,2,25,0.0,1
620,7,0,36,0,11350,148,0,43,3,1,1,30,459.92,0
622,23,0,32,0,840,41,0,13,2,1,2,25,39.645,1
624,13,1,35,0,5703,92,0,20,2,1,1,25,260.775,1
626,9,1,34,0,2875,35,0,12,2,1,2,25,130.95,1
627,9,0,35,0,2153,38,2,27,3,1,2,30,95.64,1
628,0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
629,1,0,35,0,1553,19,0,2,3,1,1,30,62.88,0
631,0,0,35,0,513,1,0,3,4,1,2,45,12.85,1
649,3,1,8,0,1373,13,0,3,2,1,1,25,62.37,1
650,10,0,38,0,4560,72,14,20,3,1,1,30,241.28,0
656,6,0,38,0,2550,40,294,21,3,1,1,30,1279.6,0
663,6,0,38,1,3285,28,492,11,3,1,1,30,2100.52,0
667,4,0,38,0,900,15,22,11,3,1,2,30,124.6,0
668,2,0,37,0,190,1,9,3,2,1,2,25,49.095,1
672,25,1,33,0,1145,48,25,20,2,1,2,25,166.185,1
674,15,0,36,1,6008,99,35,27,2,1,1,25,432.315,1
676,11,1,35,0,3180,42,18,19,3,1,2,30,200.88,1
677,11,1,36,0,2458,45,43,34,3,1,2,30,272.12,1
678,2,0,36,0,323,3,9,5,3,1,2,30,49.04,1
680,5,0,33,1,6975,98,23,25,5,1,1,55,140.595,0
681,2,0,36,0,818,8,18,7,4,1,2,45,65.65,1
682,2,0,36,1,528,5,13,5,5,1,1,55,27.495,0
688,6,1,27,1,1505,37,202,14,2,2,1,25,978.39,1
690,13,0,27,0,890,26,19,10,2,1,2,25,126.72,0
699,5,0,9,1,1677,20,9,10,3,1,1,30,103.88,1
702,8,0,37,0,2263,59,350,21,3,1,1,30,1492.88,0
706,2,0,38,0,2170,38,276,15,3,1,1,30,1192.32,0
709,5,0,38,1,4325,82,0,22,3,1,1,30,176.28,0
710,4,0,38,0,5728,94,0,9,3,1,1,30,232.88,0
711,7,0,38,0,2048,53,0,14,3,1,2,30,84.04,0
714,7,0,37,0,15295,181,141,27,2,1,1,25,1330.92,0
718,0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
722,21,0,33,0,765,46,7,14,2,1,2,25,67.995,1
723,19,0,36,8,10245,92,0,39,5,2,1,55,155.055,0
724,11,0,36,1,5628,97,17,21,2,1,1,25,334.125,1
725,0,0,34,0,2650,21,0,11,3,1,1,30,106.84,0
726,7,1,35,0,2800,40,0,13,3,1,2,30,113.6,1
727,7,0,36,0,2078,43,25,28,3,1,2,30,184.84,1
728,0,0,36,0,0,0,0,0,3,1,2,30,0.0,1
731,0,0,36,0,438,6,0,1,4,1,2,45,11.1,1
733,23,0,31,3,15885,237,0,77,2,1,1,25,725.49,0
737,4,0,36,0,2590,52,166,20,2,1,1,25,865.89,0
746,10,0,15,0,8742,170,64,37,4,1,1,45,382.8,0
749,1,0,9,1,1297,18,0,4,3,1,1,30,52.6,1
761,7,1,33,0,2238,48,0,16,3,1,2,30,91.44,0
762,23,0,33,2,15140,219,46,31,3,1,1,30,798.36,0
768,0,0,32,0,0,0,0,0,2,1,2,25,0.0,1
772,21,1,28,0,955,41,8,16,2,1,2,25,80.82,1
774,11,0,31,0,5818,92,18,23,2,1,1,25,346.95,1
776,7,1,30,0,2990,35,1,15,2,1,2,25,140.625,1
777,7,1,31,0,2268,38,26,30,3,1,2,30,196.24,1
778,0,1,31,0,0,0,0,0,2,1,2,25,0.0,1
779,0,0,31,0,1668,19,0,5,3,1,1,30,67.48,0
781,0,0,31,0,628,1,1,3,4,1,2,45,18.225,1
784,4,0,29,2,6965,110,263,32,2,2,1,25,1501.875,0
787,4,0,31,0,2780,47,167,22,2,1,1,25,878.715,0
799,1,0,4,0,1487,13,0,6,2,1,1,25,67.5,1
806,6,0,43,1,2360,45,293,19,4,1,1,45,792.625,0
809,9,0,43,2,4515,89,10,26,3,1,1,30,224.16,0
813,6,0,43,2,3095,33,491,9,4,1,1,45,1305.7,0
818,0,0,42,0,0,0,8,0,2,1,2,25,36.0,1
822,25,1,38,0,955,53,24,18,3,1,2,30,136.32,1
824,15,0,41,2,5818,104,34,25,3,1,1,30,372.88,0
826,11,0,40,0,2990,47,17,17,3,1,2,30,189.48,1
827,11,1,41,0,2268,50,42,32,4,1,2,45,162.95,1
828,2,0,41,0,133,8,8,3,3,1,2,30,37.64,1
829,3,0,41,1,1668,31,8,7,4,1,1,45,62.475,0
831,2,0,41,0,628,13,17,5,4,1,2,45,58.525,1
838,6,1,32,2,1315,42,201,12,3,2,1,30,858.28,1
839,6,0,31,1,1568,45,38,69,5,1,1,55,81.195,0
841,2,0,31,0,825,16,29,4,4,1,2,45,93.525,0
845,18,0,22,2,6392,147,93,43,2,2,1,25,712.755,0
847,10,0,21,4,2852,51,39,20,3,1,1,30,272.12,0
849,5,1,14,2,1487,25,8,8,3,1,1,30,92.48,1
866,6,0,38,0,1585,25,8,11,2,1,2,25,108.45,0
868,6,0,38,0,710,11,8,2,2,1,2,25,68.445,1
872,29,1,34,0,1665,58,24,17,3,1,2,30,164.92,1
873,27,0,37,9,11145,104,9,42,5,2,1,55,182.235,0
876,15,1,36,0,3700,52,17,16,3,1,2,30,218.08,1
877,15,1,37,0,2978,55,42,31,3,1,2,30,289.32,1
878,6,0,37,0,843,13,8,2,3,1,2,30,66.24,1
881,6,1,37,0,1338,18,17,4,4,1,2,45,76.4,1
883,31,1,32,4,16785,249,8,80,2,1,1,25,802.53,0
887,12,0,37,1,3490,64,183,23,2,1,1,25,983.43,0
893,8,0,26,1,3935,72,16,23,3,1,1,30,224.28,0
899,9,0,10,2,2197,30,8,7,3,1,1,30,121.08,1
900,2,0,37,0,3660,60,0,17,2,1,1,25,167.4,0
910,0,0,37,0,5208,84,0,12,2,1,1,25,238.14,0
918,0,0,36,0,0,0,0,0,2,1,2,25,0.0,1
922,17,0,32,0,245,36,0,17,2,1,2,25,12.645,1
924,7,0,35,0,5108,87,1,24,2,1,1,25,238.275,1
926,3,1,34,0,2280,30,0,16,2,1,2,25,103.95,1
927,3,0,35,0,1558,33,9,31,3,1,2,30,99.64,1
928,0,0,35,0,0,0,0,0,3,1,2,30,0.0,1
929,0,0,35,0,958,14,0,6,3,1,1,30,38.88,0
931,0,0,35,0,0,0,0,0,4,1,2,45,0.0,1
942,4,0,24,0,515,21,0,13,2,1,1,25,24.12,0
945,10,0,16,0,5682,130,60,42,1,2,1,15,649.66,0
949,0,0,8,0,777,8,0,7,3,1,1,30,31.4,1
955,11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0
958,7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0
962,25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0
967,2,0,38,0,710,14,13,8,3,1,2,30,80.96,0
968,0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
972,23,0,33,0,955,47,16,17,2,1,2,25,117.09,1
974,13,0,36,1,5818,98,26,24,2,1,1,25,383.22,1
976,9,1,35,0,2990,41,9,16,3,1,2,30,157.24,1
977,9,0,36,0,2268,44,34,31,3,1,2,30,228.48,1
978,0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
979,1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0
981,0,0,36,0,628,7,9,4,4,1,2,45,38.375,1
982,0,0,36,1,338,4,4,2,5,1,1,55,11.13,0
983,25,0,31,3,16075,238,0,80,2,1,1,25,734.085,0
988,4,1,27,1,1315,36,193,11,2,2,1,25,929.295,1
999,3,0,9,1,1487,19,0,7,3,1,1,30,60.24,1
1003,10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0
1005,11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0
1016,0,0,37,0,875,14,0,11,2,1,2,25,40.005,0
1018,0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
1022,23,1,33,0,955,47,16,17,2,1,2,25,117.09,1
1024,13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
1026,9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1
1027,9,0,36,0,2268,44,34,31,3,1,2,30,228.48,1
1028,0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
1029,1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0
1031,0,0,36,0,628,7,9,4,4,1,2,45,38.375,1
1042,10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0
1043,2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0
1049,3,1,9,1,1487,19,0,7,3,1,1,30,60.24,1
1051,0,0,37,0,0,0,0,0,2,1,2,25,0.0,0
1053,5,0,36,0,3893,60,0,33,1,1,1,15,217.415,0
1057,8,0,35,1,8810,115,137,41,3,1,1,30,905.0,0
1058,2,0,36,0,13468,163,0,42,3,1,1,30,545.24,0
1059,2,0,36,0,4210,77,0,23,3,1,1,30,171.48,0
1068,0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
1072,18,0,31,0,650,41,9,15,2,1,2,25,71.595,1
1074,8,1,34,0,5513,92,19,22,2,1,1,25,337.725,1
1075,0,0,32,0,2535,16,0,12,3,1,1,30,102.04,0
1076,4,0,33,0,2685,35,2,14,2,1,2,25,131.4,1
1077,4,0,34,0,1963,38,27,29,3,1,2,30,188.04,1
1078,0,1,34,0,0,0,0,0,3,1,2,30,0.0,1
1081,0,0,34,0,323,1,2,2,4,1,2,45,13.1,1
1087,1,0,34,0,2475,47,168,21,2,1,1,25,869.49,0
1088,0,1,25,0,1010,30,186,9,2,2,1,25,883.8,1
1099,0,1,7,0,1183,13,0,5,2,1,2,25,53.82,1
1100,6,0,38,0,4125,68,3,17,2,1,1,25,202.185,0
1105,9,0,38,1,3530,79,30,28,3,1,1,30,264.36,0
1106,2,0,38,0,2115,36,283,18,3,1,1,30,1218.04,0
1107,11,0,37,2,8870,118,142,43,3,1,1,30,927.52,0
1115,1,0,37,1,6255,83,184,26,3,1,1,30,989.52,0
1118,0,0,37,0,0,0,0,0,2,1,1,25,0.0,1
1119,1,0,37,0,7263,124,382,43,2,1,1,25,2051.415,0
1122,21,1,33,0,710,44,14,17,2,1,1,25,96.93,1
1124,11,1,36,1,5573,95,24,24,2,1,1,25,363.06,1
1126,7,0,35,0,2745,38,7,16,3,1,1,30,139.32,1
1127,7,1,36,0,2023,41,32,31,3,1,1,30,210.56,1
1128,0,0,36,0,0,0,0,0,3,1,1,30,0.0,1
1131,0,0,36,0,383,4,7,4,4,1,1,45,27.175,1
1135,0,0,36,0,3473,79,0,28,2,1,1,25,159.84,0
1139,2,0,26,0,1323,36,28,68,4,1,1,45,103.975,0
1146,10,0,15,0,8688,168,71,40,4,1,1,45,398.9,0
1147,6,0,16,3,2608,42,29,19,3,1,1,30,222.0,0
1149,1,1,9,1,1243,16,0,7,3,1,1,30,50.36,1
1151,0,0,35,0,0,0,0,0,2,1,2,25,0.0,0
1152,2,0,33,0,2088,51,347,20,2,1,1,25,1657.755,0
1159,0,0,34,0,4150,74,0,21,3,1,1,30,168.96,0
1160,0,0,34,0,5553,86,0,8,2,1,1,25,253.755,0
1166,0,0,33,0,510,5,0,7,2,1,2,25,23.175,0
1168,0,0,33,0,0,0,0,0,2,1,2,25,0.0,1
1169,0,0,33,0,7143,118,372,39,2,1,1,25,2000.745,0
1171,0,0,33,0,6353,66,96,33,2,1,1,25,720.855,0
1172,15,0,29,0,590,38,4,13,2,1,2,25,46.26,1
1173,13,0,32,6,10070,84,0,38,4,1,1,45,253.85,0
1174,5,1,32,0,5453,89,14,20,2,1,1,25,312.39,1
1176,1,1,31,0,2625,32,0,12,2,1,2,25,119.565,1
1177,1,0,32,0,1903,35,22,27,3,1,2,30,165.52,1
1178,0,1,32,0,0,0,0,0,2,1,2,25,0.0,1
1179,0,0,32,0,1303,16,0,2,3,1,1,30,52.76,0
1181,0,0,32,0,263,1,0,1,3,1,2,30,10.56,1
1183,17,0,27,1,15710,229,0,76,2,1,1,25,717.255,0
1184,0,0,30,1,6600,107,259,29,2,2,1,25,1467.315,0
1191,0,0,22,0,0,0,9,0,4,1,2,45,22.5,0
1198,0,0,5,0,4025,31,203,6,3,1,1,30,974.24,0
1199,0,1,5,0,1123,10,0,3,2,1,2,25,50.985,1
1209,3,0,40,1,4290,79,5,27,3,1,1,30,194.76,0
1212,21,0,40,3,14915,221,57,34,3,1,1,30,833.44,0
1217,0,0,40,0,485,10,16,10,2,1,2,25,94.275,0
1218,0,0,39,0,0,0,3,0,2,1,2,25,13.5,1
1222,19,0,35,0,730,43,19,19,2,1,2,25,120.285,1
1224,9,0,38,1,5593,94,29,26,2,1,1,25,386.415,1
1225,0,0,36,0,2615,18,3,16,3,1,1,30,117.32,0
1226,5,1,37,0,2765,37,12,18,2,1,2,25,180.09,1
1227,5,0,38,0,2043,40,37,33,3,1,2,30,231.32,1
1228,0,0,38,0,0,0,3,0,3,1,2,30,12.0,1
1231,0,1,38,0,403,3,12,6,4,1,2,45,40.15,1
1241,0,0,28,0,600,6,24,5,4,1,2,45,75.15,0
1243,0,0,27,0,3000,57,11,25,3,1,1,30,166.28,0
1249,0,1,11,1,1263,15,3,9,3,1,1,30,63.12,1
1250,2,0,32,0,3985,63,0,11,2,1,1,25,182.16,0
1252,4,0,31,0,2068,52,342,18,2,1,1,25,1634.4,0
1254,0,0,32,0,2008,50,0,27,1,1,1,15,113.19,0
1261,3,0,32,0,1853,46,0,11,3,1,2,30,75.96,0
1265,0,0,31,0,6115,78,169,20,3,1,1,30,923.72,0
1268,0,0,31,0,0,0,0,0,2,1,2,25,0.0,1
1270,1,0,31,0,11080,146,0,41,3,1,1,30,449.04,0
1272,17,0,27,0,570,39,0,11,2,1,2,25,27.405,1
1274,7,0,30,0,5433,90,9,18,2,1,1,25,289.035,1
1276,3,1,29,0,2605,33,0,10,2,1,2,25,118.71,1
1277,3,0,30,0,1883,36,17,25,3,1,2,30,144.76,1
1278,0,0,30,0,0,0,0,0,2,1,2,25,0.0,1
1279,0,0,30,0,1283,17,0,5,3,1,1,30,52.0,0
1281,0,1,30,0,0,0,0,0,4,1,2,45,0.0,1
1288,0,0,21,0,930,28,176,5,2,2,1,25,835.11,0
1290,5,0,21,0,315,17,0,1,2,1,2,25,14.94,0
1295,10,0,11,0,6008,133,68,36,1,2,1,15,711.755,0
1299,0,0,3,0,1103,11,0,1,2,1,1,25,50.13,1
1302,10,0,41,0,2408,64,367,28,3,1,1,30,1566.88,0
